성북구,동선동2가,동소문
마포구,신정동,창전
관악구,신림동,신림동7길
관악구,봉천동,국회단지13길
마포구,도화동,새창
중랑구,망우동,봉우재
종로구,동숭동,동숭길
영등포구,당산동3가,국회대
성북구,보문동6가,동망산길
중구,예장동,삼일대
중구,남대문로5가,세종대
중구,광희동1가,동호
중랑구,면목동,중랑천
광진구,구의동,천호대
서대문구,합동,충정
마포구,구수동,독막
성동구,사근동,사근동10가길
종로구,명륜3가,명륜6길
용산구,청파동1가,효창원
관악구,봉천동,당곡6가길
서대문구,홍제동,인왕시장길
종로구,관수동,종로
중랑구,상봉동,상봉중앙
송파구,풍납동,바람드리6길
마포구,대흥동,토정
종로구,구기동,진흥
서대문구,홍제동,문화촌1길
송파구,풍납동,바람드리길
성동구,용답동,용답23길
양천구,신정동,신목
종로구,당주동,세종대
성동구,행당동,살곶이8길
성동구,성수동1가,성덕정9길
도봉구,도봉동,도봉산4가길
종로구,숭인동,숭인동1가길
관악구,신림동,신림동5나길
송파구,풍납동,바람드리25길
성북구,석관동,이문
성북구,안암동3가,안암
관악구,신림동,남부순환
성동구,용답동,용답23다길
서대문구,남가좌동,가재울미래
성동구,용답동,용답중앙23길
서초구,내곡동,안골1길
광진구,중곡동,면목
강남구,삼성동,삼성
관악구,신림동,난향3길
관악구,신림동,원신4길
종로구,숭인동,낙산길
강북구,수유동,삼각산
구로구,오류동,연동
관악구,남현동,승방3가길
서초구,양재동,양재천
용산구,용산동1가,이태원
종로구,평창동,평창14길
서초구,내곡동,능안말1길
성동구,용답동,자동차시장3길
양천구,목동,목동중앙본
종로구,소격동,북촌
중구,남산동2가,퇴계
마포구,성산동,새터산8길
노원구,공릉동,섬밭
성북구,정릉동,보국문
관악구,신림동,양지3길
구로구,가리봉동,우마1다길
성동구,금호동2가,무수막14길
성동구,마장동,살곶이2길
관악구,봉천동,행운7길
성동구,성수동2가,둘레15가길
중구,을지로2가,명동13길
노원구,하계동,한글비석
종로구,홍지동,자하문
성동구,금호동3가,금호산8길
종로구,동숭동,이화장길
성동구,금호동2가,매봉18길
마포구,공덕동,효창목2길
관악구,신림동,관천
서대문구,냉천동,경기대
종로구,원서동,창덕궁5길
성동구,송정동,송정8길
송파구,거여동,거마
종로구,평창동,세검정
동대문구,답십리동,천호대
서대문구,대신동,연대동문길
관악구,신림동,난향5길
동대문구,신설동,안암
마포구,상암동,월드컵
관악구,봉천동,국회단지4길
관악구,신림동,법원단지30길
종로구,부암동,백석동2길
중구,회현동1가,남산공원길
성북구,동선동1가,동소문
은평구,대조동,역말
성북구,보문동6가,지봉
성북구,동소문동6가,아리랑
서초구,반포동,주흥16길
종로구,평창동,평창26길
성동구,금호동2가,금호산15길
중구,저동2가,수표
